taxonID,taxonRank,scientificName,Scientific Name Authorship,Nomenclatural Status,Preferred Common Name,establishmentMeans,Habitat,genus,family,order,class,phylum,kingdom,datasetName
NHMSYS0021595837,species aggregate,Racomitrium heterostichum,(Hedw.) Brid.,sensu Smith (2004),Bristly Fringe-moss,Native,terrestrial,Racomitrium,Grimmiaceae,Grimmiales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021195044,genus,Dendrocryphaea,Paris & Schimp. ex Broth.,,,Native,terrestrial,,Cryphaeaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310533,species,Pylaisia polyantha,(Hedw.) Schimp.,,Many-flowered Leskea,Native,,Pylaisia,Pylaisiaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036906,species,Entodon concinnus,(De Not.) Paris,,Montagne's Cylinder-moss,Native,,Entodon,Entodontaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309619,genus,Chenia,R.H.Zander,,,Native,,,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021600277,variety,Streblotrichum convolutum var. convolutum,(Hedw.) P.Beauv.,,Lesser Bird's-claw Beard-moss,Native,terrestrial,Streblotrichum,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0020978993,genus,Crossidium,Jur.,,,Native,,,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021616411,genus,Homalia,Brid.,,,Native,terrestrial/freshwater,,Neckeraceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309495,species,Bryum gemmilucens,R.Wilczek & Demaret,,Yellow-bud Bryum,Native,,Bryum,Bryaceae,Bryales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309826,genus,Entosthodon,Schwaegr.,,,Native,terrestrial/freshwater,,Funariaceae,Funariales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310360,species,Pohlia camptotrachela,(Renauld & Cardot) Broth.,,Crookneck Nodding-moss,Native,,Pohlia,Mniaceae,Bryales,Bryopsida,Bryophyta,Plantae,UKSI
