taxonID,taxonRank,scientificName,Scientific Name Authorship,Nomenclatural Status,Preferred Common Name,establishmentMeans,Habitat,genus,family,order,class,phylum,kingdom,datasetName
NBNSYS0000036015,species,Fossombronia pusilla,(L.) Nees,,Common Frillwort,Native,freshwater,Fossombronia,Fossombroniaceae,Fossombroniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309590,species,Cephalozia catenulata,(Huebener) Lindb.,,Chain Pincerwort,Native,,Cephalozia,Cephaloziaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309533,species,Calypogeia arguta,Mont. & Nees,,Notched Pouchwort,Native,freshwater,Calypogeia,Calypogeiaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310803,species,Trichocolea tomentella,(Ehrh.) Dumort.,,Handsome Woollywort,Native,freshwater,Trichocolea,Trichocoleaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310448,species,Riccia crystallina,L.,,Blue Crystalwort,Native,,Riccia,Ricciaceae,Marchantiales,Marchantiopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309813,genus,Drepanolejeunea,(Spruce) Schiffn.,,,Native,,,Lejeuneaceae,Porellales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309949,species,Marchesinia mackaii,(Hook.) Gray,,MacKay's Pouncewort,Native,,Marchesinia,Lejeuneaceae,Porellales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310648,family,Sphaerocarpaceae,(Dum.) Heeg,,,Native,,,,Sphaerocarpales,Marchantiopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0021652430,species aggregate,Radula complanata,,agg.,,Native,terrestrial/freshwater,Radula,Radulaceae,Porellales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0020636806,species,Moerckia flotoviana,(Nees) Schiffn.,s.str.,,Native,freshwater,Moerckia,Moerckiaceae,Pallaviciniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309700,species,Conocephalum conicum,(L.) Dumort.,,Great Scented Liverwort,Native,freshwater,Conocephalum,Conocephalaceae,Marchantiales,Marchantiopsida,Marchantiophyta,Plantae,UKSI
