"Supplied Name","guid","scientificName","family","kingdom"
"Pectenia ligulata","BMSSYS0000048976","Pectenia ligulata","Pannariaceae","Fungi"
"Myriospora myochroa","NHMSYS0020990629","Myriospora myochroa","Acarosporaceae","Fungi"
"Lecanora semipallida","BMSSYS0000048304","Myriolecis semipallida","Lecanoraceae","Fungi"
"Diploschistes gypsaceus","NBNSYS0000016928","Diploschistes gypsaceus","Graphidaceae","Fungi"
"Carbonea vorticosa","NHMSYS0001476887","Carbonea vorticosa","Lecanoraceae","Fungi"
"Ramalina subfarinacea","NHMSYS0001496029","Ramalina subfarinacea","Ramalinaceae","Fungi"
"Micarea deminuta","BMSSYS0000011210","Micarea deminuta","Pilocarpaceae","Fungi"
"Umbilicaria grisea","NBNSYS0000019125","Umbilicaria grisea","Umbilicariaceae","Fungi"
"Rhizocarpon caeruleoalbum","NBNSYS0000039746","Rhizocarpon caeruleoalbum","Rhizocarpaceae","Fungi"
"Phaeographis smithii","NHMSYS0020990888","Phaeographis smithii","Graphidaceae","Fungi"
"Caloplaca flavorubescens","NBNSYS0000020534","Caloplaca flavorubescens","Teloschistaceae","Fungi"
"Verrucaria elaeina","NHMSYS0001501570","Verrucaria elaeina","Verrucariaceae","Fungi"
"Scoliciosporum intrusum","NHMSYS0001489452","Micarea intrusa","Pilocarpaceae","Fungi"
"Cyphelium notarisii","BMSSYS0000731152","Calicium notarisii","Caliciaceae","Fungi"
"Cladonia furcata subsp. furcata","NHMSYS0001477638","Cladonia furcata subsp. furcata","Cladoniaceae","Fungi"
"Rhizocarpon badioatrum","NHMSYS0001496251","Rhizocarpon badioatrum","Rhizocarpaceae","Fungi"
"Lithothelium phaeosporum","BMSSYS0000010712","Lithothelium phaeosporum","Pyrenulaceae","Fungi"
"Cornicularia normoerica","NHMSYS0001479049","Cornicularia normoerica","Parmeliaceae","Fungi"
"Lecidella stigmatea","NBNSYS0000018746","Lecidella stigmatea","Lecanoraceae","Fungi"
"Chaenotheca xyloxena","NBNSYS0000015554","Chaenotheca xyloxena","Coniocybaceae","Fungi"
"Strangospora deplanata","NHMSYS0001443285","Strangospora deplanata","Strangosporaceae","Fungi"
"Bacidia subturgidula","NBNSYS0000018245","Bacidia subturgidula","Ramalinaceae","Fungi"
"Collemopsidium arenisedum","NHMSYS0020535232","Collemopsidium arenisedum","Xanthopyreniaceae","Fungi"
"Protopannaria pezizoides","NHMSYS0000363769","Protopannaria pezizoides","Pannariaceae","Fungi"
"Menegazzia subsimilis","NHMSYS0020039027","Menegazzia subsimilis","Parmeliaceae","Fungi"
"Rhizocarpon grande","BMSSYS0000016225","Rhizocarpon grande","Rhizocarpaceae","Fungi"
"Rinodina luridescens","NBNSYS0000019010","Rinodina luridescens","Physciaceae","Fungi"
"Cladonia cariosa","NBNSYS0000018351","Cladonia cariosa","Cladoniaceae","Fungi"
"Porina leptalea","NBNSYS0000019896","Porina leptalea","Porinaceae","Fungi"
"Stereocaulon glareosum","NBNSYS0000019059","Stereocaulon glareosum","Stereocaulaceae","Fungi"
"Flavoparmelia soredians","NBNSYS0000147458","Flavoparmelia soredians","Parmeliaceae","Fungi"
"Cladonia luteoalba","NHMSYS0001477648","Cladonia luteoalba","Cladoniaceae","Fungi"
"Lecidella patavina","BMSSYS0000010099","Lecidella patavina","Lecanoraceae","Fungi"
"Fuscidea arboricola","NHMSYS0001482502","Fuscidea arboricola","Fuscideaceae","Fungi"
"Metamelanea umbonata","NHMSYS0020535692","Metamelanea umbonata","Lichinaceae","Fungi"
"Pertusaria aspergilla","BMSSYS0000598523","Lepra aspergilla",,"Fungi"
"Verrucaria alpicola","BMSSYS0000052443","Verrucaria alpicola","Verrucariaceae","Fungi"
"Trapeliopsis granulosa","NBNSYS0000019114","Trapeliopsis granulosa","Trapeliaceae","Fungi"
"Candelariella aurella f. aurella","NHMSYS0001476787","Candelariella aurella f. aurella","Candelariaceae","Fungi"
"Caloplaca holocarpa s.str.","BMSSYS0000043346","Caloplaca holocarpa s. lat.","Teloschistaceae","Fungi"
"Micarea lignaria var. lignaria","BMSSYS0000011218","Micarea lignaria var. lignaria","Pilocarpaceae","Fungi"
"Ramalina farinacea","NBNSYS0000018986","Ramalina farinacea","Ramalinaceae","Fungi"
"Lecidella asema","NHMSYS0001486981","Lecidella asema","Lecanoraceae","Fungi"
"Sporodophoron cretaceum","BMSSYS0000051495","Sporodophoron cretaceum","Arthoniaceae","Fungi"
"Peltigera degenii","NBNSYS0000019324","Peltigera degenii","Peltigeraceae","Fungi"
"Verrucaria cernaensis","NHMSYS0020991192","Verrucaria cernaensis","Verrucariaceae","Fungi"
"Rinodina teichophila","NBNSYS0000019018","Rinodina teichophila","Physciaceae","Fungi"
"Catillaria subviridis","NBNSYS0000018325","Catillaria subviridis","Catillariaceae","Fungi"
"Lichenomphalia umbellifera","NHMSYS0001488367","Lichenomphalia umbellifera","Hygrophoraceae","Fungi"
"Hypotrachyna afrorevoluta","NHMSYS0001485112","Hypotrachyna afrorevoluta","Parmeliaceae","Fungi"
"Rhizocarpon superficiale","NHMSYS0001496295","Rhizocarpon superficiale","Rhizocarpaceae","Fungi"
"Arthonia didyma","NHMSYS0001474939","Arthonia didyma","Arthoniaceae","Fungi"
"Bryoria fuscescens","NBNSYS0000018259","Bryoria fuscescens","Parmeliaceae","Fungi"
"Pseudocyphellaria intricata","NBNSYS0000019352","Pseudocyphellaria intricata","Lobariaceae","Fungi"
"Verrucaria striatula","NBNSYS0000020708","Verrucaria striatula","Verrucariaceae","Fungi"
"Verrucaria funckii","NBNSYS0000020681","Verrucaria funckii","Verrucariaceae","Fungi"
"Hymenelia heteromorpha","BMSSYS0000008469","Hymenelia heteromorpha","Hymeneliaceae","Fungi"
"Porina leptospora","BMSSYS0000015246","Porina leptospora","Porinaceae","Fungi"
"Fellhanera duplex","BMSSYS0000731164","Puttea duplex",,"Fungi"
"Catinaria neuschildii","NHMSYS0001476943","Catinaria neuschildii","Ramalinaceae","Fungi"
"Lecanora persimilis","BMSSYS0000048300","Myriolecis persimilis","Lecanoraceae","Fungi"
"Cladonia zopfii","NBNSYS0000018419","Cladonia zopfii","Cladoniaceae","Fungi"
"Micarea lapillicola","BMSSYS0000011216","Micarea lapillicola","Pilocarpaceae","Fungi"
"Strangospora moriformis","NBNSYS0000019071","Strangospora moriformis","Strangosporaceae","Fungi"
"Leptogium saturninum","NBNSYS0000018787","Leptogium saturninum","Collemataceae","Fungi"
"Caloplaca haematites","NBNSYS0000020538","Caloplaca haematites","Teloschistaceae","Fungi"
"Lecanora agardhiana","BMSSYS0000048291","Myriolecis agardhiana","Lecanoraceae","Fungi"
"Collema cristatum var. cristatum","NHMSYS0001478252","Collema cristatum var. cristatum","Collemataceae","Fungi"
"Arthopyrenia atractospora","BMSSYS0000001703","Arthopyrenia atractospora","Arthopyreniaceae","Fungi"
"Porpidia striata","NHMSYS0001494696","Porpidia striata","Lecideaceae","Fungi"
"Jamesiella scotica","NHMSYS0020535584","Jamesiella scotica","Gomphillaceae","Fungi"
"Cladonia gracilis","NBNSYS0000018377","Cladonia gracilis","Cladoniaceae","Fungi"
"Thelidium methorium","NHMSYS0001499636","Thelidium methorium","Verrucariaceae","Fungi"
