"key"	"dataValue"	"taxonId"	"origTaxonId"	"preferredQualifiedTaxonName"	"preferredTaxon"	"preferredTaxonQualifier"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Stipa poeppigiana Trin. & Rupr."	"0920008874"	"2cd4p9h.7mxswp"	"2cd4p9h.3hx5nr"	"Nassella poeppigiana (Trin. & Rupr.) Barkworth"	"Nassella poeppigiana"		"Stipa poeppigiana"				
"Stipa tenuis Phil."	"0920008878"	"2cd4p9h.7mxswr"	"2cd4p9h.3hx5yb"	"Nassella tenuis (Phil.) Barkworth"	"Nassella tenuis"		"Stipa tenuis"				
"Stipa tenuissima Trin."	"0920008879"	"2cd4p9h.7mxswt"	"2cd4p9h.3hx5ye"	"Nassella tenuissima (Trin.) Barkworth"	"Nassella tenuissima"		"Stipa tenuissima"				
"Phyteuma tenerum Rich.Schulz"	"0920001469"	"2cd4p9h.7mxskq"	"2cd4p9h.7mxskq"	"Phyteuma tenerum Rich.Schulz"	"Phyteuma tenerum"		"Phyteuma tenerum"				
"Rosa pimpinellifolia x rubiginosa = R. x biturigensis Boreau"	"Vas_23115"	"2cd4p9h.7mxsxw"	"2cd4p9h.2dy"	"Rosa rubiginosa x spinosissima = R. x biturigensis Boreau"	"Rosa rubiginosa x spinosissima = R. x biturigensis"		"Rosa pimpinellifolia x rubiginosa = R. x biturigensis"				
"Rosa rubiginosa x spinosissima = R. x biturigensis Boreau"	"0920002723"	"2cd4p9h.7mxsxw"	"2cd4p9h.7mxsxw"	"Rosa rubiginosa x spinosissima = R. x biturigensis Boreau"	"Rosa rubiginosa x spinosissima = R. x biturigensis"		"Rosa rubiginosa x spinosissima = R. x biturigensis"				
"Rosa x cantiana (Wolley-Dod) Wolley-Dod"	"0920002723"	"2cd4p9h.7mxsxw"	"2cd4p9h.7mm4mt"	"Rosa rubiginosa x spinosissima = R. x biturigensis Boreau"	"Rosa rubiginosa x spinosissima = R. x biturigensis"		"Rosa x cantiana"				
"Rosa x moorei Wolley-Dod"	"0920002723"	"2cd4p9h.7mxsxw"	"2cd4p9h.7mm4y1"	"Rosa rubiginosa x spinosissima = R. x biturigensis Boreau"	"Rosa rubiginosa x spinosissima = R. x biturigensis"		"Rosa x moorei"				
"Rosa pimpinellifolia x rugosa (f x m)"	"0920009544.1"	"2cd4p9h.7mxsxx"	"2cd4p9h.3hx1m9"	"Rosa spinosissima x rugosa (f x m)"	"Rosa spinosissima x rugosa"	"(f x m)"	"Rosa pimpinellifolia x rugosa"	"(f x m)"			
"Rubus affinis Weihe & Nees, nom. illegit."	"0920003315"	"2cd4p9h.7mxsxp"	"2cd4p9h.7mxsxp"	"Rubus affinis Weihe & Nees, nom. illegit."	"Rubus affinis"		"Rubus affinis"				
