"key"	"taxonId"	"origTaxonId"	"prefTaxonName"	"dataValue"	"maxDataValue"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Asplenium trichomanes L."	"2cd4p9h.aq"	"2cd4p9h.aq"	"Asplenium trichomanes L."	8	8	"Asplenium trichomanes"				
"Asplenium viride Huds."	"2cd4p9h.b4"	"2cd4p9h.b4"	"Asplenium viride Huds."	8	8	"Asplenium viride"				
"Dryopteris aemula (Aiton) Kuntze"	"2cd4p9h.ba"	"2cd4p9h.ba"	"Dryopteris aemula (Aiton) Kuntze"	2	2	"Dryopteris aemula"				
"Hymenophyllum wilsonii Hook."	"2cd4p9h.bg"	"2cd4p9h.bg"	"Hymenophyllum wilsonii Hook."	3	3	"Hymenophyllum wilsonii"				
"Isoetes echinospora Durieu"	"2cd4p9h.bm"	"2cd4p9h.bm"	"Isoetes echinospora Durieu"	5	5	"Isoetes echinospora"				
"Selaginella selaginoides (L.) P.Beauv."	"2cd4p9h.bs"	"2cd4p9h.bs"	"Selaginella selaginoides (L.) P.Beauv."	6	6	"Selaginella selaginoides"				
"Aconitum napellus L."	"2cd4p9h.dn"	"2cd4p9h.dn"	"Aconitum napellus L."	7	7	"Aconitum napellus"				
"Actaea spicata L."	"2cd4p9h.dt"	"2cd4p9h.dt"	"Actaea spicata L."	8	8	"Actaea spicata"				
"Aegopodium podagraria L."	"2cd4p9h.e4"	"2cd4p9h.e4"	"Aegopodium podagraria L."	6	6	"Aegopodium podagraria"				
"Aira praecox L."	"2cd4p9h.f0"	"2cd4p9h.f0"	"Aira praecox L."	4	4	"Aira praecox"				
"Alchemilla minima Walters"	"2cd4p9h.f9"	"2cd4p9h.f9"	"Alchemilla minima Walters"	8	8	"Alchemilla minima"				
"Allium roseum L."	"2cd4p9h.ff"	"2cd4p9h.ff"	"Allium roseum L."	6	6	"Allium roseum"				
"Allium scorodoprasum L."	"2cd4p9h.fv"	"2cd4p9h.fv"	"Allium scorodoprasum L."	7	7	"Allium scorodoprasum"				
"Althaea officinalis L."	"2cd4p9h.fz"	"2cd4p9h.fz"	"Althaea officinalis L."	8	8	"Althaea officinalis"				
"Amaranthus albus L."	"2cd4p9h.g5"	"2cd4p9h.g5"	"Amaranthus albus L."	8	8	"Amaranthus albus"				
"Andromeda polifolia L."	"2cd4p9h.gn"	"2cd4p9h.gn"	"Andromeda polifolia L."	1	1	"Andromeda polifolia"				
"Anemone nemorosa L."	"2cd4p9h.gt"	"2cd4p9h.gt"	"Anemone nemorosa L."	5	5	"Anemone nemorosa"				
"Aphanes arvensis L. s.s."	"2cd4p9h.hg"	"2cd4p9h.hg"	"Aphanes arvensis L. s.s."	6	6	"Aphanes arvensis"	"s.s."			
"Arabis hirsuta (L.) Scop."	"2cd4p9h.hm"	"2cd4p9h.hm"	"Arabis hirsuta (L.) Scop."	8	8	"Arabis hirsuta"				
"Arenaria ciliata L."	"2cd4p9h.v9"	"2cd4p9h.v9"	"Arenaria ciliata L."	8	8	"Arenaria ciliata"				
"Arenaria serpyllifolia L. s.s."	"2cd4p9h.vc"	"2cd4p9h.vc"	"Arenaria serpyllifolia L. s.s."	7	7	"Arenaria serpyllifolia"	"s.s."			
"Armoracia rusticana G.Gaertn., B.Mey. & Scherb."	"2cd4p9h.vv"	"2cd4p9h.vv"	"Armoracia rusticana G.Gaertn., B.Mey. & Scherb."	7	7	"Armoracia rusticana"				
"Artemisia absinthium L."	"2cd4p9h.w2"	"2cd4p9h.w2"	"Artemisia absinthium L."	7	7	"Artemisia absinthium"				
"Artemisia campestris L."	"2cd4p9h.w5"	"2cd4p9h.w5"	"Artemisia campestris L."	6	6	"Artemisia campestris"				
"Atriplex laciniata L."	"2cd4p9h.wt"	"2cd4p9h.wt"	"Atriplex laciniata L."	7	7	"Atriplex laciniata"				
"Barbarea vulgaris W.T.Aiton"	"2cd4p9h.k4"	"2cd4p9h.k4"	"Barbarea vulgaris W.T.Aiton"	7	7	"Barbarea vulgaris"				
"Bidens tripartita L."	"2cd4p9h.kw"	"2cd4p9h.kw"	"Bidens tripartita L."	7	7	"Bidens tripartita"				
