"key"	"dataValue"	"taxonId"	"origTaxonId"	"preferredQualifiedTaxonName"	"preferredTaxon"	"preferredTaxonQualifier"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Subularia aquatica L."	"rare"	"2cd4p9h.m56"	"2cd4p9h.m56"	"Subularia aquatica L."	"Subularia aquatica"		"Subularia aquatica"				
"Utricularia australis R.Br."	"scarce"	"2cd4p9h.m6b"	"2cd4p9h.m6b"	"Utricularia australis R.Br."	"Utricularia australis"		"Utricularia australis"				
"Atriplex longipes Drejer"	"scarce"	"2cd4p9h.m83"	"2cd4p9h.m83"	"Atriplex longipes Drejer"	"Atriplex longipes"		"Atriplex longipes"				
"Erica mackaiana Bab."	"rare"	"2cd4p9h.nr7"	"2cd4p9h.nr7"	"Erica mackaiana Bab."	"Erica mackaiana"		"Erica mackaiana"				
"Lycopodiella inundata (L.) Holub"	"rare"	"2cd4p9h.y9v"	"2cd4p9h.y9v"	"Lycopodiella inundata (L.) Holub"	"Lycopodiella inundata"		"Lycopodiella inundata"				
"Gymnocarpium robertianum (Hoffm.) Newman"	"rare"	"2cd4p9h.ya5"	"2cd4p9h.ya5"	"Gymnocarpium robertianum (Hoffm.) Newman"	"Gymnocarpium robertianum"		"Gymnocarpium robertianum"				
"Anthriscus caucalis M.Bieb."	"scarce"	"2cd4p9h.ybs"	"2cd4p9h.ybs"	"Anthriscus caucalis M.Bieb."	"Anthriscus caucalis"		"Anthriscus caucalis"				
"Arenaria norvegica Gunnerus subsp. norvegica"	"rare"	"2cd4p9h.ycf"	"2cd4p9h.ycf"	"Arenaria norvegica Gunnerus subsp. norvegica"	"Arenaria norvegica subsp. norvegica"		"Arenaria norvegica subsp. norvegica"				
"Campanula rapunculus L."	"rare"	"2cd4p9h.yem"	"2cd4p9h.yem"	"Campanula rapunculus L."	"Campanula rapunculus"		"Campanula rapunculus"				
"Campanula trachelium L."	"scarce"	"2cd4p9h.yep"	"2cd4p9h.yep"	"Campanula trachelium L."	"Campanula trachelium"		"Campanula trachelium"				
"Carex magellanica Lam."	"rare"	"2cd4p9h.yg8"	"2cd4p9h.yg8"	"Carex magellanica Lam."	"Carex magellanica"		"Carex magellanica"				
"Colchicum autumnale L."	"rare"	"2cd4p9h.yv3"	"2cd4p9h.yv3"	"Colchicum autumnale L."	"Colchicum autumnale"		"Colchicum autumnale"				
"Cuscuta epithymum (L.) L."	"scarce"	"2cd4p9h.yvx"	"2cd4p9h.yvx"	"Cuscuta epithymum (L.) L."	"Cuscuta epithymum"		"Cuscuta epithymum"				
"Dactylorhiza incarnata subsp. cruenta (O.F.Müll.) P.D.Sell"	"scarce"	"2cd4p9h.yvz"	"2cd4p9h.yvz"	"Dactylorhiza incarnata subsp. cruenta (O.F.Müll.) P.D.Sell"	"Dactylorhiza incarnata subsp. cruenta"		"Dactylorhiza incarnata subsp. cruenta"				
"Daucus carota subsp. gummifer (Syme) Hook.f."	"scarce"	"2cd4p9h.yw5"	"2cd4p9h.yw5"	"Daucus carota subsp. gummifer (Syme) Hook.f."	"Daucus carota subsp. gummifer"		"Daucus carota subsp. gummifer"				
"Elatine hydropiper L."	"rare"	"2cd4p9h.ywq"	"2cd4p9h.ywq"	"Elatine hydropiper L."	"Elatine hydropiper"		"Elatine hydropiper"				
"Epilobium alsinifolium Vill."	"rare"	"2cd4p9h.yk4"	"2cd4p9h.yk4"	"Epilobium alsinifolium Vill."	"Epilobium alsinifolium"		"Epilobium alsinifolium"				
"Epipactis atrorubens (Hoffm.) Besser"	"scarce"	"2cd4p9h.ykd"	"2cd4p9h.ykd"	"Epipactis atrorubens (Hoffm.) Besser"	"Epipactis atrorubens"		"Epipactis atrorubens"				
"Filipendula vulgaris Moench"	"rare"	"2cd4p9h.yxv"	"2cd4p9h.yxv"	"Filipendula vulgaris Moench"	"Filipendula vulgaris"		"Filipendula vulgaris"				
"Galeopsis speciosa Mill."	"scarce"	"2cd4p9h.ymn"	"2cd4p9h.ymn"	"Galeopsis speciosa Mill."	"Galeopsis speciosa"		"Galeopsis speciosa"				
"Hammarbya paludosa (L.) Kuntze"	"scarce"	"2cd4p9h.yy3"	"2cd4p9h.yy3"	"Hammarbya paludosa (L.) Kuntze"	"Hammarbya paludosa"		"Hammarbya paludosa"				
"Hypochaeris glabra L."	"rare"	"2cd4p9h.yyz"	"2cd4p9h.yyz"	"Hypochaeris glabra L."	"Hypochaeris glabra"		"Hypochaeris glabra"				
"Malva neglecta Wallr."	"scarce"	"2cd4p9h.yrc"	"2cd4p9h.yrc"	"Malva neglecta Wallr."	"Malva neglecta"		"Malva neglecta"				
"Puccinellia fasciculata (Torr.) E.P.Bicknell"	"rare"	"2cd4p9h.p23"	"2cd4p9h.p23"	"Puccinellia fasciculata (Torr.) E.P.Bicknell"	"Puccinellia fasciculata"		"Puccinellia fasciculata"				
"Rumex crispus subsp. uliginosus (Le Gall) Akeroyd"	"scarce"	"2cd4p9h.p3q"	"2cd4p9h.p3q"	"Rumex crispus subsp. uliginosus (Le Gall) Akeroyd"	"Rumex crispus subsp. uliginosus"		"Rumex crispus subsp. uliginosus"				
"Rumex maritimus L."	"rare"	"2cd4p9h.p3t"	"2cd4p9h.p3t"	"Rumex maritimus L."	"Rumex maritimus"		"Rumex maritimus"				
"Cytisus scoparius subsp. maritimus (Rouy) Heywood"	"rare"	"2cd4p9h.p4s"	"2cd4p9h.p4s"	"Cytisus scoparius subsp. maritimus (Rouy) Heywood"	"Cytisus scoparius subsp. maritimus"		"Cytisus scoparius subsp. maritimus"				
"Saxifraga aizoides L."	"scarce"	"2cd4p9h.p50"	"2cd4p9h.p50"	"Saxifraga aizoides L."	"Saxifraga aizoides"		"Saxifraga aizoides"				
"Saxifraga granulata L."	"rare"	"2cd4p9h.p56"	"2cd4p9h.p56"	"Saxifraga granulata L."	"Saxifraga granulata"		"Saxifraga granulata"				
"Saxifraga rosacea Moench subsp. rosacea"	"scarce"	"2cd4p9h.p59"	"2cd4p9h.p59"	"Saxifraga rosacea Moench subsp. rosacea"	"Saxifraga rosacea subsp. rosacea"		"Saxifraga rosacea subsp. rosacea"				
"Schoenoplectus triqueter (L.) Palla"	"rare"	"2cd4p9h.p5c"	"2cd4p9h.p5c"	"Schoenoplectus triqueter (L.) Palla"	"Schoenoplectus triqueter"		"Schoenoplectus triqueter"				
"Silene acaulis (L.) Jacq."	"rare"	"2cd4p9h.p6e"	"2cd4p9h.p6e"	"Silene acaulis (L.) Jacq."	"Silene acaulis"		"Silene acaulis"				
"Silybum marianum (L.) Gaertn."	"rare"	"2cd4p9h.p6n"	"2cd4p9h.p6n"	"Silybum marianum (L.) Gaertn."	"Silybum marianum"		"Silybum marianum"				
"Sorbus anglica Hedl."	"rare"	"2cd4p9h.p6q"	"2cd4p9h.p6q"	"Sorbus anglica Hedl."	"Sorbus anglica"		"Sorbus anglica"				
"Sorbus rupicola (Syme) Hedl."	"rare"	"2cd4p9h.p77"	"2cd4p9h.p77"	"Sorbus rupicola (Syme) Hedl."	"Sorbus rupicola"		"Sorbus rupicola"				
"Stellaria neglecta Weihe"	"rare"	"2cd4p9h.p7m"	"2cd4p9h.p7m"	"Stellaria neglecta Weihe"	"Stellaria neglecta"		"Stellaria neglecta"				
"Teucrium scordium L."	"rare"	"2cd4p9h.p7s"	"2cd4p9h.p7s"	"Teucrium scordium L."	"Teucrium scordium"		"Teucrium scordium"				
"Torilis nodosa (L.) Gaertn."	"scarce"	"2cd4p9h.p8x"	"2cd4p9h.p8x"	"Torilis nodosa (L.) Gaertn."	"Torilis nodosa"		"Torilis nodosa"				
"Trifolium ornithopodioides L."	"scarce"	"2cd4p9h.p98"	"2cd4p9h.p98"	"Trifolium ornithopodioides L."	"Trifolium ornithopodioides"		"Trifolium ornithopodioides"				
"Vicia lathyroides L."	"scarce"	"2cd4p9h.pa7"	"2cd4p9h.pa7"	"Vicia lathyroides L."	"Vicia lathyroides"		"Vicia lathyroides"				
"Atriplex praecox Hülph."	"rare"	"2cd4p9h.pbc"	"2cd4p9h.pbc"	"Atriplex praecox Hülph."	"Atriplex praecox"		"Atriplex praecox"				
"Asplenium onopteris L."	"rare"	"2cd4p9h.r0v"	"2cd4p9h.r0v"	"Asplenium onopteris L."	"Asplenium onopteris"		"Asplenium onopteris"				
"Limonium procerum (C.E.Salmon) Ingr."	"rare"	"2cd4p9h.r63"	"2cd4p9h.r63"	"Limonium procerum (C.E.Salmon) Ingr."	"Limonium procerum"		"Limonium procerum"				
"Limonium recurvum subsp. portlandicum Ingr."	"rare"	"2cd4p9h.r66"	"2cd4p9h.r66"	"Limonium recurvum subsp. portlandicum Ingr."	"Limonium recurvum subsp. portlandicum"		"Limonium recurvum subsp. portlandicum"				
"Brachypodium pinnatum (L.) P.Beauv. s.s."	"rare"	"2cd4p9h.r78"	"2cd4p9h.r78"	"Brachypodium pinnatum (L.) P.Beauv. s.s."	"Brachypodium pinnatum"	"s.s."	"Brachypodium pinnatum"	"s.s."			
"Asparagus prostratus Dumort."	"rare"	"2cd4p9h.30ztkp"	"2cd4p9h.30ztkp"	"Asparagus prostratus Dumort."	"Asparagus prostratus"		"Asparagus prostratus"				
"Cystopteris diaphana (Bory) Blasdell"	"rare"	"2cd4p9h.3hkvht"	"2cd4p9h.3hkvht"	"Cystopteris diaphana (Bory) Blasdell"	"Cystopteris diaphana"		"Cystopteris diaphana"				
"Sorbus scannelliana T.C.G.Rich"	"rare"	"2cd4p9h.3hx58q"	"2cd4p9h.3hx58q"	"Sorbus scannelliana T.C.G.Rich"	"Sorbus scannelliana"		"Sorbus scannelliana"				
"Epipactis dunensis (T.Stephenson & T.A.Stephenson) Godfery"	"rare"	"2cd4p9h.62r808"	"2cd4p9h.62r808"	"Epipactis dunensis (T.Stephenson & T.A.Stephenson) Godfery"	"Epipactis dunensis"		"Epipactis dunensis"				
"Betonica officinalis L."	"scarce"	"2cd4p9h.6yb1xg"	"2cd4p9h.6yb1xg"	"Betonica officinalis L."	"Betonica officinalis"		"Betonica officinalis"				
"Asparagus officinalis L. s.s."	"rare"	"2cd4p9h.6pqdft"	"2cd4p9h.6pqdft"	"Asparagus officinalis L. s.s."	"Asparagus officinalis"	"s.s."	"Asparagus officinalis"	"s.s."			
"Dryopteris cambrensis (Fraser-Jenk.) Beitel & W.R.Buck"	"scarce"	"2cd4p9h.7hgmvh"	"2cd4p9h.7hgmvh"	"Dryopteris cambrensis (Fraser-Jenk.) Beitel & W.R.Buck"	"Dryopteris cambrensis"		"Dryopteris cambrensis"				
"Artemisia maritima L."	"scarce"	"2cd4p9h.7mxztr"	"2cd4p9h.7mxztr"	"Artemisia maritima L."	"Artemisia maritima"		"Artemisia maritima"				
"Bistorta vivipara (L.) Delarbre"	"rare"	"2cd4p9h.7mm0bc"	"2cd4p9h.7mm0bc"	"Bistorta vivipara (L.) Delarbre"	"Bistorta vivipara"		"Bistorta vivipara"				
"Buglossoides arvensis (L.) I.M.Johnst."	"rare"	"2cd4p9h.7mm0gf"	"2cd4p9h.7mm0gf"	"Buglossoides arvensis (L.) I.M.Johnst."	"Buglossoides arvensis"		"Buglossoides arvensis"				
"Imperatoria ostruthium L."	"rare"	"2cd4p9h.7mm2y7"	"2cd4p9h.7mm2y7"	"Imperatoria ostruthium L."	"Imperatoria ostruthium"		"Imperatoria ostruthium"				
"Limbarda crithmoides (L.) Dumort."	"scarce"	"2cd4p9h.7mm337"	"2cd4p9h.7mm337"	"Limbarda crithmoides (L.) Dumort."	"Limbarda crithmoides"		"Limbarda crithmoides"				
