"key"	"taxonId"	"origTaxonId"	"prefTaxonName"	"dataValue"	"maxDataValue"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Saxifraga granulata L."	"2cd4p9h.p56"	"2cd4p9h.p56"	"Saxifraga granulata L."	4	4	"Saxifraga granulata"				
"Schoenoplectus triqueter (L.) Palla"	"2cd4p9h.p5c"	"2cd4p9h.p5c"	"Schoenoplectus triqueter (L.) Palla"	7	7	"Schoenoplectus triqueter"				
"Schoenus ferrugineus L."	"2cd4p9h.p5f"	"2cd4p9h.p5f"	"Schoenus ferrugineus L."	2	2	"Schoenus ferrugineus"				
"Sedum album L."	"2cd4p9h.p5x"	"2cd4p9h.p5x"	"Sedum album L."	2	2	"Sedum album"				
"Sempervivum tectorum L."	"2cd4p9h.p5z"	"2cd4p9h.p5z"	"Sempervivum tectorum L."	1	1	"Sempervivum tectorum"				
"Senecio squalidus L."	"2cd4p9h.p65"	"2cd4p9h.p65"	"Senecio squalidus L."	7	7	"Senecio squalidus"				
"Sibbaldia procumbens L."	"2cd4p9h.p6b"	"2cd4p9h.p6b"	"Sibbaldia procumbens L."	3	3	"Sibbaldia procumbens"				
"Silene acaulis (L.) Jacq."	"2cd4p9h.p6e"	"2cd4p9h.p6e"	"Silene acaulis (L.) Jacq."	1	1	"Silene acaulis"				
"Silybum marianum (L.) Gaertn."	"2cd4p9h.p6n"	"2cd4p9h.p6n"	"Silybum marianum (L.) Gaertn."	6	6	"Silybum marianum"				
"Sorbus anglica Hedl."	"2cd4p9h.p6q"	"2cd4p9h.p6q"	"Sorbus anglica Hedl."	4	4	"Sorbus anglica"				
"Sorbus domestica L."	"2cd4p9h.p6t"	"2cd4p9h.p6t"	"Sorbus domestica L."	3	3	"Sorbus domestica"				
"Sorbus lancastriensis E.F.Warb."	"2cd4p9h.p71"	"2cd4p9h.p71"	"Sorbus lancastriensis E.F.Warb."	3	3	"Sorbus lancastriensis"				
"Sorbus minima (Ley) Hedl."	"2cd4p9h.p74"	"2cd4p9h.p74"	"Sorbus minima (Ley) Hedl."	3	3	"Sorbus minima"				
"Sorbus rupicola (Syme) Hedl."	"2cd4p9h.p77"	"2cd4p9h.p77"	"Sorbus rupicola (Syme) Hedl."	3	3	"Sorbus rupicola"				
"Spergularia media (L.) C.Presl"	"2cd4p9h.p7d"	"2cd4p9h.p7d"	"Spergularia media (L.) C.Presl"	5	5	"Spergularia media"				
"Spergularia rupicola Lebel ex Le Jol."	"2cd4p9h.p7g"	"2cd4p9h.p7g"	"Spergularia rupicola Lebel ex Le Jol."	5	5	"Spergularia rupicola"				
"Stellaria media agg."	"2cd4p9h.p7w"	"2cd4p9h.p7w"	"Stellaria media agg."	6	6	"Stellaria media"	"agg."			
"Stellaria neglecta Weihe"	"2cd4p9h.p7m"	"2cd4p9h.p7m"	"Stellaria neglecta Weihe"	7	7	"Stellaria neglecta"				
